file,verdict,category,variant,function,line,reason
case_001.sol,BENIGN,signature_replay,5,handle,9,"서명에 nonce, 만료, chainid와 컨트랙트 주소가 결합되고 nonce를 지급 전에 증가시켜 재사용을 막습니다."
case_002.sol,BENIGN,rescue_and_escrow,2,routeValue,8,구조 함수는 기록된 사용자 부채를 제외한 초과 ETH만 회수하므로 예치 원금을 침해하지 않습니다.
case_003.sol,BENIGN,multicall_value_reuse,4,finalizeOperation,7,delegatecall 배치는 msg.value가 0일 때만 허용되어 하나의 ETH 값을 여러 하위 호출에서 중복 회계할 수 없습니다.
case_004.sol,BENIGN,rounding_extraction,4,finalizeOperation,8,지급액을 준비금에 불리하지 않게 내림하고 0 출력 거래를 거부해 분할 반올림 수익을 차단합니다.
case_005.sol,MALICIOUS,supply_control,2,applyUpdate,9,특권 계정이 코드로 강제된 공급 상한 없이 총공급량과 자신의 잔고를 늘릴 수 있습니다.
case_006.sol,MALICIOUS,asymmetric_transfer_gate,4,routeValue,10,관리자는 제한을 우회하지만 일반 보유자는 관리자가 설정한 잠금 때문에 전송할 수 있는 비대칭 허니팟 경로가 있습니다.
case_007.sol,BENIGN,delegate_execution,5,settlePosition,9,delegatecall 대상은 생성 시 배포된 고정 코드이고 호출 선택자도 고정되어 임의 코드 실행 경로가 없습니다.
case_008.sol,UNCERTAIN,oracle_lending,2,processRequest,12,담보 가격과 갱신 시점이 외부 오라클 구현에 의존하므로 조작 저항성과 최신성을 판단할 수 없습니다.
case_009.sol,MALICIOUS,vault_share_inflation,3,reconcile,7,첫 예치자가 직접 송금으로 자산/지분 비율을 왜곡해 후속 예치자의 지분을 0으로 반올림시키고 가치를 가져갈 수 있습니다.
case_010.sol,BENIGN,initialization_and_upgrade,2,handle,9,관리자는 생성자에서 확정되고 구현 변경은 관리자에게만 허용되며 새 구현의 코드 존재도 검사합니다.
case_011.sol,UNCERTAIN,escrow_release,1,applyUpdate,9,대금 해제 조건이 외부 중재자의 판정에 전적으로 의존하므로 해당 구현과 신뢰 가정이 필요합니다.
case_012.sol,MALICIOUS,supply_control,3,processRequest,9,특권 계정이 코드로 강제된 공급 상한 없이 총공급량과 자신의 잔고를 늘릴 수 있습니다.
case_013.sol,BENIGN,oracle_lending,4,submit,10,대출 가치는 변경 불가능한 보수적 기준가와 코드로 강제된 담보비율만 사용합니다.
case_014.sol,BENIGN,privileged_confiscation,5,complete,8,소각은 호출자 자신의 잔액에만 적용되고 제3자 잔액을 이전하거나 감소시키는 특권 경로가 없습니다.
case_015.sol,BENIGN,authorization_identity,1,processRequest,8,민감한 송금은 직접 호출자인 msg.sender를 소유자와 비교하므로 중간 컨트랙트가 권한을 빌릴 수 없습니다.
case_016.sol,BENIGN,repeatable_claim,3,updateRecord,8,청구 상태를 외부 송금 전에 기록하여 동일 배정의 중복 청구와 재진입 청구를 막습니다.
case_017.sol,BENIGN,rescue_and_escrow,3,commitState,8,구조 함수는 기록된 사용자 부채를 제외한 초과 ETH만 회수하므로 예치 원금을 침해하지 않습니다.
case_018.sol,MALICIOUS,token_return_accounting,5,executeAction,8,토큰 transferFrom의 false 반환을 무시하고 예치 잔액을 기록하므로 자산을 받지 않고도 기존 풀 자산에 대한 인출권을 만들 수 있습니다.
case_019.sol,UNCERTAIN,vault_share_inflation,3,routeValue,10,지분 환산을 외부 회계 모듈이 계산하므로 기부와 반올림 처리 방식을 확인할 수 없습니다.
case_020.sol,UNCERTAIN,cross_domain_replay,2,finalizeOperation,8,메시지 고유성과 도메인 검증이 외부 메신저의 consume 구현에 의존합니다.
case_021.sol,BENIGN,token_return_accounting,4,perform,8,토큰 전송의 성공 반환값을 확인한 뒤에만 예치 잔액을 기록합니다.
